sex,count,value
M,337127,JAKUB
K,315644,JULIA
K,236890,ZUZANNA
M,225102,KACPER
K,205968,MAJA
K,204557,WIKTORIA
M,204543,SZYMON
M,187417,JAN
K,178216,ALEKSANDRA
M,177384,FILIP
K,177061,OLIWIA
K,173433,NATALIA
M,172173,ANTONI
K,167579,ZOFIA
M,166946,MICHAŁ
M,161495,MATEUSZ
K,160533,LENA
M,150518,ALEKSANDER
K,149020,HANNA
K,145468,AMELIA
M,144751,MIKOŁAJ
M,134478,FRANCISZEK
M,132573,ADAM
K,131335,ALICJA
M,129638,WOJCIECH
K,126250,MARIA
M,124692,PIOTR
M,120138,BARTOSZ
M,114636,DAWID
M,112381,WIKTOR
K,110235,EMILIA
K,109297,ANNA
K,98402,WERONIKA
M,97649,MARCEL
K,96673,MARTYNA
K,95477,LAURA
M,95336,STANISŁAW
M,94407,IGOR
M,91180,NIKODEM
K,88157,KAROLINA
K,86881,GABRIELA
M,86461,MACIEJ
M,82676,DOMINIK
K,82264,NIKOLA
M,81322,PATRYK
M,80573,MAKSYMILIAN
M,78715,LEON
M,78588,KAMIL
M,78237,OSKAR
M,77083,PAWEŁ
K,77050,ANTONINA
M,75587,OLIWIER
M,72610,KRZYSZTOF
M,71859,KAROL
K,71085,POLA
K,70617,MAGDALENA
M,70131,MIŁOSZ
M,68608,TOMASZ
M,65748,IGNACY
K,65242,NADIA
M,62402,HUBERT
M,61600,TYMON
K,60346,IGA
K,59645,PATRYCJA
K,59504,KLAUDIA
K,58781,MILENA
K,58566,PAULINA
K,58141,MICHALINA
K,57721,LILIANA
K,57719,MARCELINA
K,56517,KINGA
M,56399,ALAN
M,53825,BARTŁOMIEJ
M,53590,ADRIAN
K,52677,KATARZYNA
K,52008,KORNELIA
K,51712,HELENA
K,51387,AGATA
M,51116,TYMOTEUSZ
M,50204,SEBASTIAN
K,47368,DOMINIKA
M,46457,ŁUKASZ
M,44976,GABRIEL
M,44792,JULIAN
M,44333,KRYSTIAN
K,43961,MARTA
K,43703,JAGODA
K,40586,KLARA
M,39917,MARCIN
M,38838,FABIAN
M,38509,DAMIAN
M,37891,DANIEL
K,37402,MAŁGORZATA
K,36939,ŁUCJA
K,36592,BARBARA
K,36582,JOANNA
K,35905,BLANKA
K,34472,NINA
K,32131,KAJA
M,30405,KONRAD
M,29460,NATAN
K,29286,IZABELA
M,28519,ARTUR
K,27990,ANASTAZJA
K,27946,KAMILA
M,27860,KSAWERY
K,27395,DARIA
K,27366,NELA
M,27189,GRZEGORZ
K,26767,SARA
M,26162,RAFAŁ
K,24681,SANDRA
K,24099,EWA
M,23889,ERYK
K,23304,LILIANNA
M,23183,PRZEMYSŁAW
M,22764,BRUNO
M,21746,BORYS
K,21699,MATYLDA
M,21412,OLAF
K,21197,AGNIESZKA
M,20836,KAJETAN
M,20686,KUBA
K,20581,ANIELA
M,20125,CEZARY
M,20029,BŁAŻEJ
K,19888,ROKSANA
K,19698,ADRIANNA
K,19624,JUSTYNA
K,19019,MONIKA
K,18837,RÓŻA
K,18527,ELIZA
K,18081,OLGA
M,17581,RADOSŁAW
M,17417,ROBERT
M,16958,MAREK
K,16565,ROZALIA
M,16505,TADEUSZ
K,16274,KALINA
K,16260,MIA
K,16031,MALWINA
K,15748,URSZULA
M,14411,JÓZEF
M,14261,ARKADIUSZ
M,13607,OLIVIER
K,13526,LIWIA
K,13420,LIDIA
K,13392,MARIANNA
M,13172,ANDRZEJ
M,13151,KORNEL
M,13143,TOBIASZ
M,12839,HENRYK
M,12810,EMIL
M,12763,WITOLD
K,12493,ANGELIKA
K,12312,AURELIA
M,12067,NORBERT
M,11904,GRACJAN
K,11869,DOROTA
M,11696,JERZY
K,11179,EWELINA
K,11166,OLIVIA
M,11077,ALEX
M,10466,KAZIMIERZ
M,10182,JACEK
K,10150,MARIKA
M,9967,MILAN
K,9837,BIANKA
M,9783,ALEKS
K,9483,SYLWIA
K,9418,MELANIA
K,9319,KARINA
M,9244,STEFAN
M,9156,NATANIEL
K,8669,DAGMARA
K,8609,GAJA
M,8604,ALEXANDER
M,8523,MIESZKO
K,8490,NICOLA
K,8344,NATASZA
M,8331,RYSZARD
K,8067,JULITA
M,7960,TEODOR
K,7918,DIANA
K,7870,VICTORIA
K,7859,VANESSA
M,7819,LEONARD
M,7615,DARIUSZ
K,7554,MARLENA
M,7467,DORIAN
M,7400,MARIUSZ
M,7298,GUSTAW
M,7217,KONSTANTY
K,7213,ADA
M,6904,SEWERYN
M,6795,REMIGIUSZ
K,6781,IDA
K,6781,APOLONIA
M,6702,JULIUSZ
K,6689,WANDA
K,6678,ELŻBIETA
K,6584,ZOJA
M,6570,BRAJAN
K,6535,NICOLE
M,6496,OLIVER
K,6434,ANITA
M,6432,ALBERT
M,6405,JĘDRZEJ
